ranking,npsn,nama_sekolah,nilai_total,provinsi,kab_kota,jenis
88,20615025,SMAS PENABUR BINTARO ,"582,565",Prov. Banten,Kota Tangerang Selatan,SMA
89,20277085,MAS ZAKARIA ,"582,462",Prov. Jawa Barat,Kota Bandung,MA
188,20222365,SMAN 2 CIREBON ,"561,649",Prov. Jawa Barat,Kota Cirebon,SMA
189,69989336,SMA BUDI CENDEKIA ISLAMIC SCHOOL  ,"561,491",Prov. Jawa Barat,Kota Depok,SMA
190,69975824,MAN INSAN CENDEKIA KOTA KENDARI ,"561,315",Prov. Sulawesi Tenggara,Kota Kendari,MA
90,20219266,SMAS ST ANGELA ,"582,306",Prov. Jawa Barat,Kota Bandung,SMA
91,69976494,MAN INSAN CENDEKIA TANAH LAUT ,"581,705",Prov. Kalimantan Selatan,Kab. Tanah Laut,MA
92,20307641,SMAS TARUNA NUSANTARA ,"581,661",Prov. Jawa Tengah,Kab. Magelang,SMA
191,20403179,SMAN 4 YOGYAKARTA ,"561,313",Prov. D.I. Yogyakarta,Kota Yogyakarta,SMA
192,20246430,SMAS ISLAM DIAN DIDAKTIKA ,"561,296",Prov. Jawa Barat,Kota Depok,SMA
193,10210836,SMAS SUTOMO 2 ,"561,219",Prov. Sumatera Utara,Kota Medan,SMA
194,20504500,SMAN 1 BOJONEGORO ,"560,936",Prov. Jawa Timur,Kab. Bojonegoro,SMA
93,20328447,SMAN 1 SALATIGA ,"581,657",Prov. Jawa Tengah,Kota Salatiga,SMA
94,20219269,SMAS TARUNA BAKTI ,"581,497",Prov. Jawa Barat,Kota Bandung,SMA
95,69978966,MAN INSAN CENDEKIA LOMBOK TIMUR ,"581,076",Prov. Nusa Tenggara Barat,Kab. Lombok Timur,MA
195,20520820,SMAN 2 LUMAJANG ,"560,914",Prov. Jawa Timur,Kab. Lumajang,SMA
196,20223020,SMAN 1 BEKASI ,"560,694",Prov. Jawa Barat,Kota Bekasi,SMA
197,20223819,SMAN 1 KOTA DEPOK ,"560,653",Prov. Jawa Barat,Kota Depok,SMA
96,20103292,SMAN 103 JAKARTA ,"580,890",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
97,20107304,SMAS ISLAM AL-AZHAR 1 JAKARTA ,"580,574",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
98,10259371,SMAS METHODIST 3 MEDAN ,"580,203",Prov. Sumatera Utara,Kota Medan,SMA
198,10603865,SMA NEGERI 01 PALEMBANG ,"560,455",Prov. Sumatera Selatan,Kota Palembang,SMA
199,20525856,SMAN 1 GLAGAH ,"560,196",Prov. Jawa Timur,Kab. Banyuwangi,SMA
200,20305010,SMAN 1 KEBUMEN ,"560,010",Prov. Jawa Tengah,Kab. Kebumen,SMA
99,20238524,SMK-SMAK BOGOR ,"580,148",Prov. Jawa Barat,Kota Bogor,SMK
100,20102571,SMAN 66 JAKARTA ,"580,146",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,SMA
